hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
8846,6471|21072,6472,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1320,1,http://www.reactome.org/biopax/96/48887#Catalysis584
8847,15245|23783|23784,14260|23785|23968,3,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5087,1,http://www.reactome.org/biopax/96/48887#Catalysis2020
8848,5723|16174,5091|20910,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction15415,1,http://www.reactome.org/biopax/96/48887#Catalysis6712
8850,9284|24772,9286|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4325,1,http://www.reactome.org/biopax/96/48887#Catalysis1598
8851,5216|15370|23165,5220|23532,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14784,1,http://www.reactome.org/biopax/96/48887#Catalysis6520
8852,971|23200|26337,24711|24874,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9371,1,http://www.reactome.org/biopax/96/48887#Catalysis3980
8853,6416|24750|24772,24761|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1198,1,http://www.reactome.org/biopax/96/48887#Catalysis504
8854,10460|15827,10475,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5789,1,http://www.reactome.org/biopax/96/48887#Control1153
8855,15886|23854,23853,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction5894,1,http://www.reactome.org/biopax/96/48887#Control1192
8856,2983|9439,9440,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4492,1,http://www.reactome.org/biopax/96/48887#Control961
8857,5062,14744|17097|20523,1,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14648,1,http://www.reactome.org/biopax/96/48887#Catalysis6465
8858,1942|18563|23570|23571,18564|23575|23589,4,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction10879,1,http://www.reactome.org/biopax/96/48887#Catalysis5095
8859,6854,6840|6842|14916|21425|21430|21431|21433|21436|26178,1,9,http://www.reactome.org/biopax/96/48887#BiochemicalReaction1700,1,http://www.reactome.org/biopax/96/48887#Catalysis709
8860,5317|20664,5318,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14870,1,http://www.reactome.org/biopax/96/48887#Control2807
8861,17474|23696|24364,24324|24365,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8531,1,http://www.reactome.org/biopax/96/48887#Catalysis3291
8862,16328|22458|23165,14877|23709,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6059,1,http://www.reactome.org/biopax/96/48887#Catalysis2287
